Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML
9/21/2011,-2.31,0.31,-0.38,0.35,-0.09,0,0.72
9/22/2011,-3.91,0.86,0.5,0.38,0.71,0,0.75
9/23/2011,0.37,-0.58,0.44,-0.04,0.52,0,-0.77
9/26/2011,1.26,-1.69,0.68,-0.32,0.37,0,-0.86
9/27/2011,2.56,-0.22,0.11,-0.23,-0.21,0,-0.91
9/28/2011,-1.49,0.52,0.43,0.42,0.26,0,0.87
9/29/2011,0.73,0.02,1.21,-0.44,0.63,0,-1.09
9/30/2011,-2.15,0.7,-0.01,0.25,0.09,0,0.88
10/3/2011,-2.93,-0.42,-0.23,0.79,0.32,0,1.25
10/4/2011,0.36,0.53,-0.08,0.02,0.24,0,-1.11
10/5/2011,1.87,-1.33,-0.07,-0.35,-0.52,0,-0.76
10/6/2011,2.57,-0.47,-0.07,-0.53,-0.21,0,-0.8
10/7/2011,-0.22,-0.14,-0.48,0.79,-0.02,0,0.74
10/10/2011,2.95,-0.62,0.02,-0.21,-0.09,0,-0.84
10/11/2011,0.3,0.53,-0.11,-0.17,-0.19,0,-0.38
10/12/2011,1.49,-0.17,0.32,-0.3,-0.05,0,-1.33
10/13/2011,-0.25,0.54,-0.71,0.45,-0.3,0,0.59
10/14/2011,1.26,-0.54,-0.48,0.11,-0.41,0,-0.05
10/17/2011,-1.43,0.35,0.01,0.29,0,0,1.04
10/18/2011,0.71,-0.18,0.29,-0.6,0.2,0,-0.75
10/19/2011,-0.56,-0.12,0.66,0.1,0.44,0,0.01
10/20/2011,-0.36,-0.1,0.01,0.1,0.24,0,0.41
10/21/2011,2.05,-0.7,0.06,-0.16,0.15,0,-0.88
10/24/2011,1.74,0.36,-0.35,-0.27,-0.42,0,-1.36
10/25/2011,-1.38,0.07,-0.23,0.27,-0.11,0,0.58
10/26/2011,0.59,0.1,0.11,-0.11,0.07,0,-0.49
10/27/2011,4.16,-0.55,0.69,-1.13,0.04,0,-3.13
10/28/2011,0.08,-0.02,-0.38,-0.07,-0.3,0,-0.2
10/31/2011,-3.11,0.62,-0.66,0.64,0,0,1.73
11/1/2011,-3.21,0.39,-0.6,0.63,-0.04,0,2.22
11/2/2011,1.08,-0.25,0.21,-0.41,-0.34,0,-0.65
11/3/2011,1.78,-0.44,-0.16,-0.03,-0.05,0,-0.69
11/4/2011,-0.35,0.44,-0.51,0.18,-0.08,0,0.24
